Title,Authors,Publication Year,Journal,PMID,PMCID,DOI,Link,Associated Data,Associated Data Repository(-ies)
A Metabolomic Approach to the Study of Wine Micro-Oxygenation,"Panagiotis Arapitsas, Matthias Scholz, Urska Vrhovsek, Stefano Di Blasi, Alessandra Biondi Bartolini, Domenico Masuero, Daniele Perenzoni, Adelio Rigo & Fulvio Mattivi ",2012,PLoS One,22662221,PMC3360592,10.1371/journal.pone.0037783,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0037783,MTBLS55,MetaboLights
Maslinic Acid-Enriched Diet Decreases Intestinal Tumorigenesis in ApcMin/+ Mice through Transcriptomic and Metabolomic Reprogramming,"Susana S‡nchez-Tena, Fernando J. Reyes-Zurita, Santiago D’az-Moralli, Maria Pilar Vinardell, Michelle Reed, Francisco Garc’a-Garc’a, Joaqu’n Dopazo, Jos_ A. Lupi‡–ez, Ulrich GŸnther & Marta Cascante",2013,PLoS One,23527181,PMC3601079,10.1371/journal.pone.0059392,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0059392,MTBLS240,MetaboLights
A Multi-Omic View of Host-Pathogen-Commensal Interplay in Salmonella-Mediated Intestinal Infection,"Brooke L. Deatherage Kaiser, Jie Li, James A. Sanford, Young-Mo Kim, Scott R. Kronewitter, Marcus B. Jones, Christine T. Peterson, Scott N. Peterson, Bryan C. Frank, Samuel O. Purvine, Joseph N. Brown, Thomas O. Metz, Richard D. Smith, Fred Heffron & Joshua N. Adkins",2013,PLoS One,23840608,PMC3694140,10.1371/journal.pone.0067155,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0067155,MTBLS96,MetaboLights
Impacts of the Callipyge Mutation on Ovine Plasma Metabolites and Muscle Fibre Type,"Juan Li, Paul L. Greenwood, Noelle E. Cockett, Tracy S. Hadfield, Tony Vuocolo, Keren Byrne, Jason D. White, Ross L. Tellam & Horst Joachim Schirra",2014,PLoS One,24937646,PMC4061035,10.1371/journal.pone.0099726,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0099726,MTBLS77,MetaboLights
Application of 1H-NMR Metabolomic Profiling for Reef-Building Corals,"Emilia M. Sogin, Paul Anderson, Philip Williams, Chii-Shiarng Chen & Ruth D. Gates",2014,PLoS One,25354140,PMC4213140,10.1371/journal.pone.0111274,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0111274,MTBLS116,MetaboLights
A Metabolic Profiling Strategy for the Dissection of Plant Defense against Fungal Pathogens,"Konstantinos A. Aliferis, Denis Faubert & Suha Jabaji",2014,PLoS One,25369450,PMC4219818,10.1371/journal.pone.0111930,"Wilna J. Moree, Jane Y. Yang, Xiling Zhao, Wei-Ting Liu, Marystella Aparicio, Librada Atencio, Javier Ballesteros, Joel Síçnchez, Ronnie G. Gavilíçn, Marcelino Gutií©rrez & Pieter C. Dorrestein",MTBLS117,MetaboLights
A Metabolic Profiling Strategy for the Dissection of Plant Defense against Fungal Pathogens,"Konstantinos A. Aliferis, Denis Faubert & Suha Jabaji",2014,PLoS One,25369450,PMC4219818,10.1371/journal.pone.0111930,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0111930,MTBLS118,MetaboLights
Metabolism of Skin-Absorbed Resveratrol into Its Glucuronized Form in Mouse Skin,"Itsuo Murakami, Romanas Chaleckis, Tom‡_ Pluskal, Ken Ito, Kousuke Hori, Masahiro Ebe, Mitsuhiro Yanagida & Hiroshi Kondoh",2014,PLoS One,25506824,PMC4266648,10.1371/journal.pone.0115359,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0115359,MTBLS125,MetaboLights
Metabolism of Skin-Absorbed Resveratrol into Its Glucuronized Form in Mouse Skin,"Itsuo Murakami, Romanas Chaleckis, Tom‡_ Pluskal, Ken Ito, Kousuke Hori, Masahiro Ebe, Mitsuhiro Yanagida & Hiroshi Kondoh",2014,PLoS One,25506824,PMC4266648,10.1371/journal.pone.0115359,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0115359,MTBLS126,MetaboLights
Metabolism of Skin-Absorbed Resveratrol into Its Glucuronized Form in Mouse Skin,"Itsuo Murakami, Romanas Chaleckis, Tom‡_ Pluskal, Ken Ito, Kousuke Hori, Masahiro Ebe, Mitsuhiro Yanagida & Hiroshi Kondoh",2014,PLoS One,25506824,PMC4266648,10.1371/journal.pone.0115359,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0115359,MTBLS127,MetaboLights
Computational Ranking of Yerba Mate Small Molecules Based on Their Predicted Contribution to Antibacterial Activity against Methicillin-Resistant Staphylococcus aureus,"Caroline S. Rempe, Kellie P. Burris, Hannah L. Woo, Benjamin Goodrich, Denise Koessler Gosnell, Timothy J. Tschaplinski & C. Neal Stewart Jr.",2015,PLoS One,25955847,PMC4425481,10.1371/journal.pone.0123925,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0123925,MTBLS170,MetaboLights
GC-MS Based Plasma Metabolomics for Identification of Candidate Biomarkers for Hepatocellular Carcinoma in Egyptian Cohort,"Mohammad R. Nezami Ranjbar, Yue Luo, Cristina Di Poto, Rency S. Varghese, Alessia Ferrarini, Chi Zhang, Naglaa I. Sarhan, Hanan Soliman, Mahlet G. Tadesse, Dina H. Ziada, Rabindra Roy & Habtom W. Ressom",2015,PLoS One,26030804,PMC4452085,10.1371/journal.pone.0127299,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0127299,MTBLS105,MetaboLights
1H HR-MAS NMR Based Metabolic Profiling of Cells in Response to Treatment with a Hexacationic Ruthenium Metallaprism as Potential Anticancer Drug,"Martina Vermathen, Lydia E. H. Paul, Ga‘lle Diserens, Peter Vermathen & Julien Furrer",2015,PLoS One,26024484,PMC4449131,10.1371/journal.pone.0128478,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0128478,MTBLS156,MetaboLights
Global Metabolomic Profiling of Mice Brains following Experimental Infection with the Cyst-Forming Toxoplasma gondii,"Chun-Xue Zhou, Dong-Hui Zhou, Hany M. Elsheikha, Guang-Xue Liu, Xun Suo & Xing-Quan Zhu",2015,PLoS One,26431205,PMC4592003,10.1371/journal.pone.0139635,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0139635,MTBLS217,MetaboLights
Changes in the Milk Metabolome of the Giant Panda (Ailuropoda melanoleuca) with Time after Birth - Three Phases in Early Lactation and Progressive Individual Differences,"Tong Zhang, Rong Zhang, Liang Zhang, Zhihe Zhang, Rong Hou, Hairui Wang, I. Kati Loeffler, David G. Watson & Malcolm W. Kennedy",2015,PLoS One,26630345,PMC4668050,10.1371/journal.pone.0143417,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0143417,MTBLS165,MetaboLights
Metabolomic Responses of Guard Cells and Mesophyll Cells to Bicarbonate,"Biswapriya B. Misra, Evaldo de Armas, Zhaohui Tong & Sixue Chen",2015,PLoS One,26641455,PMC4671721,10.1371/journal.pone.0144206,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0144206,MTBLS309,MetaboLights
Traditional Aboriginal Preparation Alters the Chemical Profile of Carica papaya Leaves and Impacts on Cytotoxicity towards Human Squamous Cell Carcinoma,"Thao T. Nguyen, Marie-Odile Parat, Paul N. Shaw, Amitha K. Hewavitharana & Mark P. Hodson",2016,PLoS One,26829042,PMC4734615 ,10.1371/journal.pone.0147956,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0147956,MTBLS274,MetaboLights
Metabolomics Analysis Reveals the Participation of Efflux Pumps and Ornithine in the Response of Pseudomonas putida DOT-T1E Cells to Challenge with Propranolol,"Ali Sayqal, Yun Xu, Drupad K. Trivedi, Najla AlMasoud, David I. Ellis, Nicholas J. W. Rattray & Royston Goodacre",2016,PLoS One,27331395,PMC4917112,10.1371/journal.pone.0156509,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0156509,MTBLS320,MetaboLights
An Untargeted Metabolomics Approach to Characterize Short-Term and Long-Term Metabolic Changes after Bariatric Surgery,"Sophie H. Narath, Selma I. Mautner, Eva Svehlikova, Bernd Schultes, Thomas R. Pieber, Frank M. Sinner, Edgar Gander, Gunnar Libiseller, Michael G. Schimek, Harald Sourij & Christoph Magnes",2016,PLoS One,27584017,PMC5008721,10.1371/journal.pone.0161425,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0161425,MTBLS218,MetaboLights
The Lipopolysaccharide-Induced Metabolome Signature in Arabidopsis thaliana Reveals Dynamic Reprogramming of Phytoalexin and Phytoanticipin Pathways.,"Tarryn Finnegan, Paul A. Steenkamp, Lizelle A. Piater & Ian A. Dubery",2016,PLoS One,27656890,PMC5033345,10.1371/journal.pone.0163572,http://journals.plos.org/plosone/article/related?id=10.1371/journal.pone.0163572,MTBLS272,MetaboLights
"1H NMR Metabolomics Reveals Association of High Expression of Inositol 1, 4, 5 Trisphosphate Receptor and Metabolites in Breast Cancer Patients","Aru Singh, Raj Kumar Sharma, Megha Chagtoo, Gaurav Agarwal, Nelson George, Neeraj Sinha & Madan M. Godbole",2017,PLoS One,28072864,PMC5225010,10.1371/journal.pone.0169330,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0169330,MTBLS326,MetaboLights
Signal Intensities Derived from Different NMR Probes and Parameters Contribute to Variations in Quantification of Metabolites,"Paige Lacy, Ryan T. McKay, Michael Finkel, Alla Karnovsky, Scott Woehler, Michael J. Lewis, David Chang & Kathleen A. Stringer",2014,PLoS One,24465670,PMC3897511,10.1371/journal.pone.0085732,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0085732,ST000256,Metabolomics Workbench
Long-Chain Fatty Acid Combustion Rate Is Associated with Unique Metabolite Profiles in Skeletal Muscle Mitochondria,"Erin L. Seifert, Oliver Fiehn, V_ronic Bezaire, David R. Bickel, Gert Wohlgemuth, Sean H. Adams & Mary-Ellen Harper",2010,PLoS One,20352092,PMC2844415,10.1371/journal.pone.0009834,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0009834,ST000393,Metabolomics Workbench
Plasma Metabolomic Profiles Reflective of Glucose Homeostasis in Non-Diabetic and Type 2 Diabetic Obese African-American Women,"Oliver Fiehn, W. Timothy Garvey, John W. Newman, Kerry H. Lok, Charles L. Hoppel & Sean H. Adams",2010,PLoS One,21170321,PMC3000813,10.1371/journal.pone.0015234,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0015234,ST000383,Metabolomics Workbench
Identification of altered metabolic pathways in plasma and CSF in mild cognitive impairment and Alzheimer's disease using metabolomics.,"Eugenia Trushina, Tumpa Dutta, Xuan-Mai T. Persson, Michelle M. Mielke & Ronald C. Petersen",2013,PLoS One,23700429,PMC3658985,10.1371/journal.pone.0063644,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0063644,ST000046,Metabolomics Workbench
Identification of altered metabolic pathways in plasma and CSF in mild cognitive impairment and Alzheimer's disease using metabolomics.,"Eugenia Trushina, Tumpa Dutta, Xuan-Mai T. Persson, Michelle M. Mielke & Ronald C. Petersen",2013,PLoS One,23700429,PMC3658985,10.1371/journal.pone.0063644,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0063644,ST000047,Metabolomics Workbench
Expanding the Described Metabolome of the Marine Cyanobacterium Moorea producens JHB through Orthogonal Natural Products Workflows,"Paul D. Boudreau, Emily A. Monroe, Suneet Mehrotra, Shane Desfor, Anton Korobeynikov, David H. Sherman, Thomas F. Murray, Lena Gerwick, Pieter C. Dorrestein & William H. Gerwick",2015,PLoS One,26222584,PMC4519256,10.1371/journal.pone.0133297,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0133297,MSV000078990,GNPS
Examining the fish microbiome: vertebrate-derived bacteria as an environmental niche for the discovery of unique marine natural products,"Laura M. Sanchez, Weng Ruh Wong, Romina M. Riener, Christopher J. Schulze & Roger G. Linington",2012,PLoS One,22574119,PMC3344833,10.1371/journal.pone.0035398,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0035398,MSV000078618,GNPS
A Metabolic Profiling Strategy for the Dissection of Plant Defense against Fungal Pathogens,"Konstantinos A. Aliferis, Denis Faubert & Suha Jabaji",2014,PLoS One,25369450,PMC4219818,10.1371/journal.pone.0111930,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0111930,MSV000080916,GNPS
The metabolic responses to aerial diffusion of essential oils.,"Yani Wu, Yinan Zhang, Guoxiang Xie, Aihua Zhao, Xiaolan Pan, Tianlu Chen, Yixue Hu, Yumin Liu, Yu Cheng, Yi Chi, Lei Yao & Wei Jia",2012,PLoS One,22984571,PMC3440318,10.1371/journal.pone.0044830,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0044830,MEX105,MetaPhen
A Central Role of Abscisic Acid in Stress-Regulated Carbohydrate Metabolism,"Stefan Kempa, Julia Krasensky, Silvia Dal Santo, Joachim Kopka & Claudia Jonak",2008,PLoS One,19081841,PMC2593778,10.1371/journal.pone.0003935,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0003935,MEX70,MetaPhen
A Central Role of Abscisic Acid in Stress-Regulated Carbohydrate Metabolism,"Stefan Kempa, Julia Krasensky, Silvia Dal Santo, Joachim Kopka & Claudia Jonak",2008,PLoS One,19081841,PMC2593778,10.1371/journal.pone.0003935,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0003935,MEX71,MetaPhen
(Homo)glutathione Deficiency Impairs Root-knot Nematode Development in Medicago truncatula,"Fabien Baldacci-Cresp, Christine Chang, Micka‘l Maucourt, Catherine Deborde, Julie Hopkins, Philippe Lecomte, St_phane Bernillon, Renaud Brouquisse, Annick Moing, Pierre Abad, Didier H_rouart, Alain Puppo, Bruno Favery & Pierre Frendo",2012,PLoS Pathogens,22241996,PMC3252378,10.1371/journal.ppat.1002471,http://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1002471,MT10001,MeRy-B
Mass spectrometry-based metabolomics of single yeast cells,"Alfredo J. Ib‡–ez, Stephan R. Fagerer, Anna Mareike Schmidt, Pawel L. Urban, Konstantins Jefimovs, Philipp Geiger, Reinhard Dechant, Matthias Heinemann & Renato Zenobia",2013,PNAS,23671112,PMC3670324,10.1073/pnas.1209302110,http://www.pnas.org/content/110/22/8790,MTBLS29,MetaboLights
ABCC6 prevents ectopic mineralization seen in pseudoxanthoma elasticum by inducing cellular nucleotide release,"Robert S. Jansena, Aslõ KŸçŸkosmano_lua, Marcel de Haasb, Sunny Sapthua, Jon Andoni Oteroc, Ilse E. M. Hegmana, Arthur A. B. Bergend, Theo G. M. F. Gorgelsd, P. Borsta & Koen van de Weteringa",2013,PNAS,24277820,PMC3864344,10.1073/pnas.1319582110,http://www.pnas.org/content/110/50/20206,MTBLS61,MetaboLights
Decreased abundance of type III secretion system-inducing signals in Arabidopsis mkp1 enhances resistance against Pseudomonas syringae,"Jeffrey C. Anderson, Ying Wan, Young-Mo Kim, Ljiljana Pasa-Tolic, Thomas O. Metz, and Scott C. Peck",2014,PNAS,24753604,PMC4020108,10.1073/pnas.1403248111,http://www.pnas.org/content/111/18/6846.full,MTBLS95,MetaboLights
Navigating natural variation in herbivory-induced secondary metabolism in coyote tobacco populations using MS/MS structural analysis,"Dapeng Lia, Ian T. Baldwina & Emmanuel Gaquerel",2015,PNAS,26170304,PMC4522797,10.1073/pnas.1503106112,http://www.pnas.org/content/112/30/E4147,MTBLS203,MetaboLights
Individual variability in human blood metabolites identifies age-related differences,"Romanas Chaleckis, Itsuo Murakami, Junko Takada, Hiroshi Kondoh & Mitsuhiro Yanagida",2016,PNAS,27036001,PMC4843419,10.1073/pnas.1603023113,http://www.pnas.org/content/113/16/4252.long,MTBLS263,MetaboLights
Individual variability in human blood metabolites identifies age-related differences,"Romanas Chaleckis, Itsuo Murakami, Junko Takada, Hiroshi Kondoh & Mitsuhiro Yanagida",2016,PNAS,27036001,PMC4843419,10.1073/pnas.1603023113,http://www.pnas.org/content/113/16/4252.long,MTBLS264,MetaboLights
Individual variability in human blood metabolites identifies age-related differences,"Romanas Chaleckis, Itsuo Murakami, Junko Takada, Hiroshi Kondoh & Mitsuhiro Yanagida",2016,PNAS,27036001,PMC4843419,10.1073/pnas.1603023113,http://www.pnas.org/content/113/16/4252.long,MTBLS265,MetaboLights
Individual variability in human blood metabolites identifies age-related differences,"Romanas Chaleckis, Itsuo Murakami, Junko Takada, Hiroshi Kondoh & Mitsuhiro Yanagida",2016,PNAS,27036001,PMC4843419,10.1073/pnas.1603023113,http://www.pnas.org/content/113/16/4252.long,MTBLS266,MetaboLights
Individual variability in human blood metabolites identifies age-related differences,"Romanas Chaleckis, Itsuo Murakami, Junko Takada, Hiroshi Kondoh & Mitsuhiro Yanagida",2016,PNAS,27036001,PMC4843419,10.1073/pnas.1603023113,http://www.pnas.org/content/113/16/4252.long,MTBLS267,MetaboLights
Illuminating a plantäó»s tissue-specific metabolic diversity using computational metabolomics and information theory,"Dapeng Li, Sven Heiling, Ian T. Baldwin & Emmanuel Gaquerel",2016,PNAS,27821729,PMC5127351,10.1073/pnas.1610218113,http://www.pnas.org/content/113/47/E7610.abstract,MTBLS335,MetaboLights
Biosynthesis of isonitrile lipopeptides by conserved nonribosomal peptide synthetase gene clusters in Actinobacteria,"Nicholas C. Harrisa, Michio Satob, Nicolaus A. Hermanc, Frederick Twiggc, Wenlong Caic, Joyce Liud, Xuejun Zhuc, Jordan Downeyc, Ryan Khalafe, Joelle Martine, Hiroyuki Koshinof & Wenjun Zhang",2017,PNAS,28634299,PMC5502637,10.1073/pnas.1705016114,http://www.pnas.org/content/114/27/7025,MTBLS454,MetaboLights
The circadian oscillator in Synechococcus elongatus controls metabolite partitioning during diurnal growth,"Spencer Diamond, Darae Jun, Benjamin E. Rubin & Susan S. Golden",2015,PNAS,25825710,PMC4403147,10.1073/pnas.1504576112,http://www.pnas.org/content/112/15/E1916,ST000394,Metabolomics Workbench
The circadian oscillator in Synechococcus elongatus controls metabolite partitioning during diurnal growth,"Spencer Diamond, Darae Jun, Benjamin E. Rubin & Susan S. Golden",2015,PNAS,25825710,PMC4403147,10.1073/pnas.1504576112,http://www.pnas.org/content/112/15/E1916,ST000395,Metabolomics Workbench
MS/MS networking guided analysis of molecule and gene cluster families,"Don Duy Nguyen, Cheng-Hsuan Wu, Wilna J. Moree, Anne Lamsa, Marnix H. Medema, Xiling Zhao, Ronnie G. Gavilan, Marystella Aparicio, Librada Atencio, Chanaye Jackson, Javier Ballesteros, Joel Sanchez, Jeramie D. Watrous, Vanessa V. Phelan, Corine van de Wiel, Roland D. Kersten, Samina Mehnaz, Ren_ De Mot, Elizabeth A. Shank, Pep Charusanti, Harish Nagarajan, Brendan M. Duggan, Bradley S. Moore, Nuno Bandeira, Bernhard ¯. Palsson, Kit Pogliano, Marcelino Guti_rrez & Pieter C. Dorrestein",2013,PNAS,23798442,PMC3710860,10.1073/pnas.1303471110,http://www.pnas.org/content/110/28/E2611,MSV000078552,GNPS
MS/MS networking guided analysis of molecule and gene cluster families,"Don Duy Nguyen, Cheng-Hsuan Wu, Wilna J. Moree, Anne Lamsa, Marnix H. Medema, Xiling Zhao, Ronnie G. Gavilan, Marystella Aparicio, Librada Atencio, Chanaye Jackson, Javier Ballesteros, Joel Sanchez, Jeramie D. Watrous, Vanessa V. Phelan, Corine van de Wiel, Roland D. Kersten, Samina Mehnaz, Ren_ De Mot, Elizabeth A. Shank, Pep Charusanti, Harish Nagarajan, Brendan M. Duggan, Bradley S. Moore, Nuno Bandeira, Bernhard ¯. Palsson, Kit Pogliano, Marcelino Guti_rrez & Pieter C. Dorrestein",2013,PNAS,23798442,PMC3710860,10.1073/pnas.1303471110,http://www.pnas.org/content/110/28/E2611,MSV000078551,GNPS
MS/MS networking guided analysis of molecule and gene cluster families,"Don Duy Nguyen, Cheng-Hsuan Wu, Wilna J. Moree, Anne Lamsa, Marnix H. Medema, Xiling Zhao, Ronnie G. Gavilan, Marystella Aparicio, Librada Atencio, Chanaye Jackson, Javier Ballesteros, Joel Sanchez, Jeramie D. Watrous, Vanessa V. Phelan, Corine van de Wiel, Roland D. Kersten, Samina Mehnaz, Ren_ De Mot, Elizabeth A. Shank, Pep Charusanti, Harish Nagarajan, Brendan M. Duggan, Bradley S. Moore, Nuno Bandeira, Bernhard ¯. Palsson, Kit Pogliano, Marcelino Guti_rrez & Pieter C. Dorrestein",2013,PNAS,23798442,PMC3710860,10.1073/pnas.1303471110,http://www.pnas.org/content/110/28/E2611,MSV000078549,GNPS
Microscopy ambient ionization top-down mass spectrometry reveals developmental patterning,"Cheng-Chih Hsu, Nicholas M. White, Marito Hayashi, Eugene C. Lin, Tiffany Poon, Indroneal Banerjee, Ju Chen, Samuel L. Pfaff, Eduardo R. Macagno & Pieter C. Dorrestein",2013,PNAS,23969833,PMC3773749,10.1073/pnas.1310618110,http://www.pnas.org/content/110/37/14855.abstract,MSV000078638,GNPS
Microscopy ambient ionization top-down mass spectrometry reveals developmental patterning,"Cheng-Chih Hsu, Nicholas M. White, Marito Hayashi, Eugene C. Lin, Tiffany Poon, Indroneal Banerjee, Ju Chen, Samuel L. Pfaff, Eduardo R. Macagno & Pieter C. Dorrestein",2013,PNAS,23969833,PMC3773749,10.1073/pnas.1310618110,http://www.pnas.org/content/110/37/14855.abstract,MSV000078637,GNPS
Microscopy ambient ionization top-down mass spectrometry reveals developmental patterning,"Cheng-Chih Hsu, Nicholas M. White, Marito Hayashi, Eugene C. Lin, Tiffany Poon, Indroneal Banerjee, Ju Chen, Samuel L. Pfaff, Eduardo R. Macagno & Pieter C. Dorrestein",2013,PNAS,23969833,PMC3773749,10.1073/pnas.1310618110,http://www.pnas.org/content/110/37/14855.abstract,MSV000078590,GNPS
Topic modeling for untargeted substructure exploration in metabolomics,"Justin Johan Jozias van der Hooft, Joe Wandy, Michael P. Barrett, Karl E. V. Burgess & Simon Rogers",2016,PNAS,27856765,PMC5137707,10.1073/pnas.1608041113,http://www.pnas.org/content/113/48/13738.abstract,MSV000081040,GNPS
Glycogenomics as a mass spectrometry-guided genome-mining method for microbial glycosylated molecules.,"Roland D. Kersten, Nadine Ziemert, David J. Gonzalez, Brendan M. Duggan, Victor Nizet, Pieter C. Dorrestein & Bradley S. Moore",2013,PNAS,24191063,PMC3839717,10.1073/pnas.1315492110,http://www.pnas.org/content/110/47/E4407.long,MSV000078663,GNPS
A prominent role for the CBF cold response pathway in configuring the low-temperature metabolome of Arabidopsis.,"Daniel Cook, Sarah Fowler, Oliver Fiehn & Michael F. Thomashow",2004,PNAS,15383661,PMC524070,10.1073/pnas.0406069101,http://www.pnas.org/content/101/42/15243.long,MEX44,MetaPhen
Comparative transcriptome and metabolite analysis of oil palm and date palm mesocarp that differ dramatically in carbon partitioning,"Fabienne Bourgis, Aruna Kilaru, Xia Cao, Georges-Frank Ngando-Ebongue, Noureddine Drira, John B. Ohlrogge & Vincent Arondel",2011,PNAS,21709233,PMC3145713,10.1073/pnas.1106502108,http://www.pnas.org/content/108/30/12527,D10002,MeRy-B
Comparative transcriptome and metabolite analysis of oil palm and date palm mesocarp that differ dramatically in carbon partitioning,"Fabienne Bourgis, Aruna Kilaru, Xia Cao, Georges-Frank Ngando-Ebongue, Noureddine Drira, John B. Ohlrogge & Vincent Arondel",2011,PNAS,21709233,PMC3145713,10.1073/pnas.1106502108,http://www.pnas.org/content/108/30/12527,D10001,MeRy-B
The early responses of Arabidopsis thaliana cells to cadmium exposure explored by protein and metabolite profiling analyses.,"Jean-Emmanuel Sarry, Lauriane Kuhn, C_line Ducruix, Alexandra Lafaye, Christophe Junot, V_ronique Hugouvieux, Agnès Jourdain, Olivier Bastien, Julie B. Fievet, Dominique Vailhen, Badia Amekraz, Christophe Moulin, Eric Ezan, J_r™me Garin & Jacques Bourguignon Dr",2006,Proteomics,16502469,NA,10.1002/pmic.200500543,http://onlinelibrary.wiley.com/doi/10.1002/pmic.200500543/abstract,MEX96,MetaPhen
"High-resolution extracted ion chromatography, a new tool for metabolomics and lipidomics using a second-generation orbitrap mass spectrometer","Albert Koulman, Gary Woffendin, Vinod K. Narayana, Helen Welchman, Catharina Crone & Dietrich A. Volmer",2009,Rapid Communications in Mass Spectrometry,19347970,PMC2970913,10.1002/rcm.4015,http://onlinelibrary.wiley.com/doi/10.1002/rcm.4015/full,MTBLS4,MetaboLights
Fragmentation patterns of methyloxime-trimethylsilyl derivatives of constitutive mono- and disaccharide isomers analyzed by gas chromatography/field ionization mass spectrometry,"Takeshi Furuhashi, Keisuke Ishii, Kazuo Tanaka, Wolfram Weckwerth & Takemichi Nakamura",2014,Rapid Communications in Mass Spectrometry,26411621,NA,10.1002/rcm.7105,http://onlinelibrary.wiley.com/wol1/doi/10.1002/rcm.7105/full,MTBLS215,MetaboLights
Using network analysis to discern compositional patterns in ultrahigh-resolution mass spectrometry data of dissolved organic matter,Krista Longnecker & Elizabeth B. Kujawinski,2016,Rapid Communications in Mass Spectrometry,27524402,NA,10.1002/rcm.7719,http://onlinelibrary.wiley.com/wol1/doi/10.1002/rcm.7719/full,MTBLS366,MetaboLights
Comparing identified and statistically significant lipids and polar metabolites in 15-year old serum and dried blood spot samples for longitudinal studies,"Jennifer E. Kyle, Cameron P. Casey, Kelly G. Stratton, Erika M. Zink, Young-Mo Kim, Xueyun Zheng, Matthew E. Monroe, Karl K. Weitz, Kent J. Bloodsworth, Daniel J. Orton, Yehia M. Ibrahim, Ronald J. Moore, Christine G. Lee, Catherine Pedersen, Eric Orwoll, Richard D. Smith, Kristin E. Burnum-Johnson & Erin S. Baker",2017,Rapid Communications in Mass Spectrometry,27958645,PMC5292309,10.1002/rcm.7808,http://onlinelibrary.wiley.com/doi/10.1002/rcm.7808/full,ST000608,Metabolomics Workbench
"Deep functional analysis of synII, a 770-kilobase synthetic yeast chromosome.","Yue Shen, Yun Wang, Tai Chen, Feng Gao, Jianhui Gong, Dariusz Abramczyk, Roy Walker, Hongcui Zhao, Shihong Chen, Wei Liu, Yisha Luo, Carolin A. MŸller, Adrien Paul-Dubois-Taine, Bonnie Alver, Giovanni Stracquadanio, Leslie A. Mitchell, Zhouqing Luo, Yanqun Fan, Baojin Zhou, Bo Wen, Fengji Tan, Yujia Wang, Jin Zi, Zexiong Xie, Bingzhi Li, Kun Yang, Sarah M. Richardson, Hui Jiang, Christopher E. French, Conrad A. Nieduszynski, Romain Koszul, Adele L. Marston, Yingjin Yuan, Jian Wang, Joel S. Bader, Junbiao Dai, Jef D. Boeke, Xun Xu, Yizhi Cai & Huanming Yang",2017,Science,28280153,PMC5390853,10.1126/science.aaf4791,http://science.sciencemag.org/content/355/6329/eaaf4791.long,MTBLS296,MetaboLights
"Hepatotoxicity and nephrotoxicity induced by the chlorpyrifos and chlorpyrifos-methyl metabolite, 3,5,6-trichloro-2-pyridinol, in orally exposed mice","Yongfeng Deng, Yan Zhang, Yifeng Lu, Yanping Zhao & Hongqiang Ren",2016,Science of The Total Environment,26674679,NA,10.1016/j.scitotenv.2015.11.162,http://www.sciencedirect.com/science/article/pii/S0048969715311438?via%3Dihub,MTBLS275,MetaboLights
Direct infusion mass spectrometry metabolomics dataset: a benchmark for data processing and quality control,"Jennifer A Kirwan, Ralf J M Weber, David I Broadhurst & Mark R Viant",2014,Scientific Data,25977770,PMC4381748,10.1038/sdata.2014.12,https://www.nature.com/articles/sdata201412,MTBLS79,MetaboLights
Metabolic differences in ripening of Solanum lycopersicum äóÖAilsa Craigäó» and three monogenic mutants,"Stephan Beisken, Mark Earll, Charles Baxter, David Portwood, Zsuzsanna Ament, Aniko Kende, Charlie Hodgman, Graham Seymour, Rebecca Smith, Paul Fraser, Mark Seymour, Reza M. Salek & Christoph Steinbeck",2014,Scientific Data,25977786,PMC4322568,10.1038/sdata.2014.29,https://www.nature.com/articles/sdata201429,MTBLS36,MetaboLights
